A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image_practice,Image,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,betweenTrial.started,betweenTrial.stopped,ISI.started,ISI.stopped,image_card.started,image_card.stopped,textbox.text,textbox.started,textbox.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_endPractice.started,image_endPractice.stopped,polygon_2.started,polygon_2.stopped,ISI_2.started,ISI_2.stopped,Cards.started,Cards.stopped,TextNote.started,TextNote.stopped,Estimation.text,Estimation.started,Estimation.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,participant,gender,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,1325.5404812004417,None,space,202.17094939947128,1325.5404812004417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
0,0,0,9,0,0,9,1.0,None,None,0.0,None,None,practice_stimuli/P_00_00_00_09.png,,0,0,0,0,,,,,,,,,,,1527.8757489994168,None,1527.8757489994168,None,None,None,0,1527.9096255004406,None,return,2.6129027996212244,1527.9096255004406,None,1527.9096255004406,None,,,,,,,,,,,,,,,,,,,,,,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
18,0,36,0,18,54,54,1.0,0.0,1.0,1.0,0.0,None,practice_stimuli/P_18_00_36_00.png,,0,1,1,1,,,,,,,,,,,1530.5534170009196,None,1530.5534170009196,None,1530.99634790048,None,,1530.99634790048,None,None,,1530.99634790048,None,1530.99634790048,None,,,,,,,,,,,,,,,,,,,,,,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
9,18,18,0,27,27,45,0.6,0.67,0.33,1.0,-0.67,#NAME?,practice_stimuli/P_09_18_18_00.png,,0,2,2,2,,,,,,,,,,,1539.0076556000859,None,1539.0076556000859,None,1539.4508565999568,None,50,1539.4508565999568,None,return,7.284118499606848,1539.4508565999568,None,1539.4508565999568,None,,,,,,,,,,,,,,,,,,,,,,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
36,18,18,36,54,54,108,0.83,0.33,0.67,0.33,0.33,0.5,practice_stimuli/P_36_18_18_36.png,,0,3,3,3,,,,,,,,,,,1546.7713108994067,None,1546.7713108994067,None,1547.15417920053,None,70,1547.15417920053,None,return,6.0212511997669935,1547.15417920053,None,1547.15417920053,None,,,,,,,,,,,,,,,,,,,,,,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,54.758254401385784,1553.2120172996074,None,,,,,,,,,,,,,,,,,,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
0,36,0,9,36,0,45,0.2,1.0,0.0,0.0,0.0,0.0,,stimuli/P_00_36_00_09.png,,,,,0,0,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,1553.2120172996074,None,1614.8472831994295,None,1614.8472831994295,None,1615.2971494998783,None,1615.2971494998783,None,0,1615.2971494998783,None,return,3.709655599668622,1615.2971494998783,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
0,36,9,18,36,9,63,0.43,1.0,0.0,0.33,-0.33,-0.5,,stimuli/P_00_36_09_18.png,,,,,0,1,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619.0424722004682,None,1619.0424722004682,None,1619.4270936008543,None,1619.4270936008543,None,0,1619.4270936008543,None,return,4.106405200436711,1619.4270936008543,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
0,18,0,0,18,0,18,0.0,1.0,0.0,None,None,None,,stimuli/P_00_18_00_00.png,,,,,0,2,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.5744186993688,None,1623.5744186993688,None,1623.9525346998125,None,1623.9525346998125,None,0,1623.9525346998125,None,return,1.9919934011995792,1623.9525346998125,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
36,0,18,36,36,54,90,1.0,0.0,1.0,0.33,0.67,1.0,,stimuli/P_36_00_18_36.png,,,,,0,3,3,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.9721416998655,None,1625.9721416998655,None,1626.3600038010627,None,1626.3600038010627,None,100,1626.3600038010627,None,return,4.475619800388813,1626.3600038010627,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
36,36,9,36,72,45,117,0.69,0.5,0.5,0.2,0.3,0.37,,stimuli/P_36_36_09_36.png,,,,,0,4,4,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630.8553934004158,None,1630.8553934004158,None,1631.237482700497,None,1631.237482700497,None,50,1631.237482700497,None,return,2.8027985990047455,1631.237482700497,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
0,9,9,9,9,9,27,0.67,1.0,0.0,0.5,-0.5,-1.0,,stimuli/P_00_09_09_09.png,,,,,0,5,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634.0653789993376,None,1634.0653789993376,None,1634.4416096005589,None,1634.4416096005589,None,0,1634.4416096005589,None,return,3.555706700310111,1634.4416096005589,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
0,18,36,9,18,36,63,0.71,1.0,0.0,0.8,-0.8,-4.0,,stimuli/P_00_18_36_09.png,,,,,0,6,6,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.0183106008917,None,1638.0183106008917,None,1638.424911500886,None,1638.424911500886,None,0,1638.424911500886,None,return,2.253411401063204,1638.424911500886,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
36,0,0,18,36,36,54,1.0,0.0,1.0,0.0,1.0,1.0,,stimuli/P_36_00_00_18.png,,,,,0,7,7,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.7077696993947,None,1640.7077696993947,None,1641.0916929002851,None,1641.0916929002851,None,100,1641.0916929002851,None,return,2.5148320998996496,1641.0916929002851,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
18,0,9,9,18,27,36,1.0,0.0,1.0,0.5,0.5,1.0,,stimuli/P_18_00_09_09.png,,,,,0,8,8,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643.6385197993368,None,1643.6385197993368,None,1644.0246089994907,None,1644.0246089994907,None,100,1644.0246089994907,None,return,3.0346677005290985,1644.0246089994907,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
36,18,9,9,54,45,72,0.75,0.33,0.67,0.5,0.17,0.33,,stimuli/P_36_18_09_09.png,,,,,0,9,9,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.0770353004336,None,1647.0770353004336,None,1647.4557524006814,None,1647.4557524006814,None,70,1647.4557524006814,None,return,4.769479598850012,1647.4557524006814,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
9,0,18,9,9,27,36,1.0,0.0,1.0,0.67,0.33,1.0,,stimuli/P_09_00_18_09.png,,,,,0,10,10,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.254769500345,None,1652.254769500345,None,1652.6363949999213,None,1652.6363949999213,None,100,1652.6363949999213,None,return,3.6332762986421585,1652.6363949999213,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
18,9,36,9,27,54,72,0.88,0.33,0.67,0.8,-0.13,-0.67,,stimuli/P_18_09_36_09.png,,,,,0,11,11,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.2984315995127,None,1656.2984315995127,None,1656.67064139992,None,1656.67064139992,None,60,1656.67064139992,None,return,3.267307300120592,1656.67064139992,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
0,18,9,18,18,9,45,0.6,1.0,0.0,0.33,-0.33,-0.5,,stimuli/P_00_18_09_18.png,,,,,0,12,12,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659.9747212007642,None,1659.9747212007642,None,1660.3506396003067,None,1660.3506396003067,None,0,1660.3506396003067,None,return,2.5587239991873503,1660.3506396003067,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
36,18,9,0,54,45,63,0.71,0.33,0.67,1.0,-0.33,#NAME?,,stimuli/P_36_18_09_00.png,,,,,0,13,13,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.941817900166,None,1662.941817900166,None,1663.3281334992498,None,1663.3281334992498,None,70,1663.3281334992498,None,return,3.832166900858283,1663.3281334992498,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
36,0,18,9,36,54,63,1.0,0.0,1.0,0.67,0.33,1.0,,stimuli/P_36_00_18_09.png,,,,,0,14,14,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667.1839731000364,None,1667.1839731000364,None,1667.5539743993431,None,1667.5539743993431,None,100,1667.5539743993431,None,return,3.0100007988512516,1667.5539743993431,None,,,LIULIN,F,001,2023_Apr_18_1512,untitled,2021.1.4,47.51431210567246,
