A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image_practice,Image,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,betweenTrial.started,betweenTrial.stopped,ISI.started,ISI.stopped,image_card.started,image_card.stopped,textbox.text,textbox.started,textbox.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_endPractice.started,image_endPractice.stopped,polygon_2.started,polygon_2.stopped,ISI_2.started,ISI_2.stopped,Cards.started,Cards.stopped,TextNote.started,TextNote.stopped,Estimation.text,Estimation.started,Estimation.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,participant,gender,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,1641.3497687000781,None,space,95.63629779964685,1641.3497687000781,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
0,0,0,9,0,0,9,1.0,None,None,0.0,None,None,practice_stimuli/P_00_00_00_09.png,,0,0,0,0,,,,,,,,,,,1737.1440945006907,None,1737.1440945006907,None,1739.850850701332,None,0,1739.850850701332,None,return,7.743549298495054,1739.850850701332,None,1739.850850701332,None,,,,,,,,,,,,,,,,,,,,,,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
18,0,36,0,18,54,54,1.0,0.0,1.0,1.0,0.0,None,practice_stimuli/P_18_00_36_00.png,,0,1,1,1,,,,,,,,,,,1747.6580266002566,None,1747.6580266002566,None,1748.0410633999854,None,,1748.0410633999854,None,None,,1748.0410633999854,None,1748.0410633999854,None,,,,,,,,,,,,,,,,,,,,,,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
9,18,18,0,27,27,45,0.6,0.67,0.33,1.0,-0.67,#NAME?,practice_stimuli/P_09_18_18_00.png,,0,2,2,2,,,,,,,,,,,1756.0634239017963,None,1756.0634239017963,None,1756.4578187000006,None,30,1756.4578187000006,None,return,5.739955300465226,1756.4578187000006,None,1756.4578187000006,None,,,,,,,,,,,,,,,,,,,,,,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
36,18,18,36,54,54,108,0.83,0.33,0.67,0.33,0.33,0.5,practice_stimuli/P_36_18_18_36.png,,0,3,3,3,,,,,,,,,,,1762.2291215006262,None,1762.2291215006262,None,1762.607292599976,None,100,1762.607292599976,None,None,,1762.607292599976,None,1762.607292599976,None,,,,,,,,,,,,,,,,,,,,,,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,45.482980500906706,1770.6220515016466,None,,,,,,,,,,,,,,,,,,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
18,36,36,18,54,54,108,0.67,0.67,0.33,0.67,-0.33,-1.0,,stimuli/P_18_36_36_18.png,,,,,0,0,0,190,,,,,,,,,,,,,,,,,,,,,,,,,,1770.6220515016466,None,1823.0471569001675,None,1823.0471569001675,None,1823.8393383007497,None,1823.8393383007497,None,50,1823.8393383007497,None,return,3.908846899867058,1823.8393383007497,None,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
9,36,36,0,45,45,81,0.56,0.8,0.2,1.0,-0.8,#NAME?,,stimuli/P_09_36_36_00.png,,,,,0,1,1,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827.7664165012538,None,1827.7664165012538,None,1828.1570287011564,None,1828.1570287011564,None,15,1828.1570287011564,None,return,2.818868700414896,1828.1570287011564,None,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
9,0,18,0,9,27,27,1.0,0.0,1.0,1.0,0.0,None,,stimuli/P_09_00_18_00.png,,,,,0,2,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.9953905008733,None,1830.9953905008733,None,1831.3736636005342,None,1831.3736636005342,None,20,1831.3736636005342,None,return,2.700782099738717,1831.3736636005342,None,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
0,0,0,36,0,0,36,1.0,None,None,0.0,None,None,,stimuli/P_00_00_00_36.png,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.106740200892,None,1834.106740200892,None,1834.486348701641,None,1834.486348701641,None,0,1834.486348701641,None,return,2.231064198538661,1834.486348701641,None,,,YEERASILI,M,001,2023_Apr_18_1601,untitled,2021.1.4,48.04696296045182,
