trialNumber,trialType,x1,p,y1,p2,outcome1,x2,q,y2,q2,outcome2,LWedgeCol,LCircleCol,RWedgeCol,RCircleCol,Lslice,Rslice,L1,L2,R1,R2,x1Pos,x2Pos,y1Pos,y2Pos,leftPoints,rightPoints,LeftYourUn,RightYouUn,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image.started,image.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ISI_2.started,ISI_2.stopped,arrowL_2.started,arrowL_2.stopped,arrowR_2.started,arrowR_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,blueLVal_2.started,blueLVal_2.stopped,blueRVal_2.started,blueRVal_2.stopped,redLVal_2.started,redLVal_2.stopped,redRVal_2.started,redRVal_2.stopped,right.started,right.stopped,left.started,left.stopped,ISI.started,ISI.stopped,arrowL.started,arrowL.stopped,arrowR.started,arrowR.stopped,blueLVal.started,blueLVal.stopped,blueRVal.started,blueRVal.stopped,redLVal.started,redLVal.stopped,redRVal.started,redRVal.stopped,right_2.started,right_2.stopped,left_2.started,left_2.stopped,ISI_4.started,ISI_4.stopped,arrowL_3.started,arrowL_3.stopped,arrowR_3.started,arrowR_3.stopped,blueLVal_3.started,blueLVal_3.stopped,blueRVal_3.started,blueRVal_3.stopped,redLVal_3.started,redLVal_3.stopped,redRVal_3.started,redRVal_3.stopped,rating,ratingrt,text_5.started,text_5.stopped,totalScore,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_5.started,image_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.098124500131235,None,space,3.123422499978915,27.098124500131235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.25905829994008,None,space,1.4046789000276476,30.25905829994008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
176,partial,50,0.2,0,0.8,blue,200,0.2,50,0.8,red,blue,red,blue,red,72,72,5,67,77,355,"[-6.7, 1.9]","[9.3, 1.9]","[-9.3, -1.9]","[6.7, -1.9]",50,50,0,200,0,0,0,58,,,,,,,,,,,,,,,,,0.009001200553029776,0.5090012005530298,31.94035469996743,None,31.94035469996743,None,right,2.933829399989918,31.94035469996743,None,31.94035469996743,None,31.94035469996743,None,31.94035469996743,None,31.94035469996743,None,34.90961810015142,None,34.90961810015142,None,0.004373650066554546,0.5043736500665545,34.90961810015142,None,34.90961810015142,None,34.90961810015142,None,34.90961810015142,None,34.90961810015142,None,34.90961810015142,None,37.5420697000809,None,37.5420697000809,None,0.0065639500971883535,0.5065639500971884,37.5420697000809,None,37.5420697000809,None,37.5420697000809,None,37.5420697000809,None,37.5420697000809,None,37.5420697000809,None,4.600000000000001,4.422,44.050214800052345,None,50,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
61,partial,50,0.8,0,0.2,blue,200,0.2,0,0.8,blue,red,blue,blue,red,72,72,77,355,5,67,"[-9.3, -1.9]","[9.3, 1.9]","[-6.7, 1.9]","[6.7, -1.9]",50,200,0,0,0,1,1,69,,,,,,,,,,,,,,,,,0.004236999899148941,0.5042369998991489,45.09906670008786,None,45.09906670008786,None,left,5.833220900036395,45.09906670008786,None,45.09906670008786,None,45.09906670008786,None,45.09906670008786,None,45.09906670008786,None,50.957568200072274,None,50.957568200072274,None,0.00590535020455718,0.5059053502045572,50.957568200072274,None,50.957568200072274,None,50.957568200072274,None,50.957568200072274,None,50.957568200072274,None,50.957568200072274,None,53.836927599972114,None,53.836927599972114,None,0.007977649802342057,0.5079776498023421,53.836927599972114,None,53.836927599972114,None,53.836927599972114,None,53.836927599972114,None,53.836927599972114,None,53.836927599972114,None,7.5,3.181,59.07895680004731,None,100,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
423,partial,0,0.8,-200,0.2,red,-50,0.8,-200,0.2,red,red,blue,red,blue,72,72,5,67,5,67,"[-9.3, -1.9]","[6.7, -1.9]","[-6.7, 1.9]","[9.3, 1.9]",-200,-200,0,-50,0,2,2,52,,,,,,,,,,,,,,,,,0.0028214999474585056,0.5028214999474585,60.108790300088,None,60.108790300088,None,left,6.401905199978501,60.108790300088,None,60.108790300088,None,60.108790300088,None,60.108790300088,None,60.108790300088,None,66.53842910006642,None,66.53842910006642,None,0.0050234501250088215,0.5050234501250088,66.53842910006642,None,66.53842910006642,None,66.53842910006642,None,66.53842910006642,None,66.53842910006642,None,66.53842910006642,None,69.05086480011232,None,69.05086480011232,None,0.00851544993929565,0.5085154499392956,69.05086480011232,None,69.05086480011232,None,69.05086480011232,None,69.05086480011232,None,69.05086480011232,None,69.05086480011232,None,-28.9,2.298,73.39274800010026,None,-100,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
405,partial,200,0.8,0,0.2,red,200,0.8,50,0.2,red,red,blue,red,blue,72,72,5,67,5,67,"[-9.3, -1.9]","[6.7, -1.9]","[-6.7, 1.9]","[9.3, 1.9]",0,50,200,200,0,3,3,104,,,,,,,,,,,,,,,,,0.0033412000630050898,0.5033412000630051,74.42260850011371,None,74.42260850011371,None,right,1.8118640000466257,74.42260850011371,None,74.42260850011371,None,74.42260850011371,None,74.42260850011371,None,74.42260850011371,None,76.26987960003316,None,76.26987960003316,None,0.006955449935048819,0.5069554499350488,76.26987960003316,None,76.26987960003316,None,76.26987960003316,None,76.26987960003316,None,76.26987960003316,None,76.26987960003316,None,78.93199860001914,None,78.93199860001914,None,0.007508249953389168,0.5075082499533892,78.93199860001914,None,78.93199860001914,None,78.93199860001914,None,78.93199860001914,None,78.93199860001914,None,78.93199860001914,None,7.100000000000001,2.982,83.95726780011319,None,-50,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
58,partial,50,0.2,0,0.8,blue,200,0.2,0,0.8,blue,blue,red,blue,red,72,72,5,67,5,67,"[-6.7, 1.9]","[9.3, 1.9]","[-9.3, -1.9]","[6.7, -1.9]",50,200,0,0,0,4,4,57,,,,,,,,,,,,,,,,,0.013101250166073442,0.5131012501660734,85.0076749001164,None,85.0076749001164,None,right,2.5037279999814928,85.0076749001164,None,85.0076749001164,None,85.0076749001164,None,85.0076749001164,None,85.0076749001164,None,87.56134869996458,None,87.56134869996458,None,0.012987700058147311,0.5129877000581473,87.56134869996458,None,87.56134869996458,None,87.56134869996458,None,87.56134869996458,None,87.56134869996458,None,87.56134869996458,None,90.13234310015105,None,90.13234310015105,None,0.0059490499552339315,0.5059490499552339,90.13234310015105,None,90.13234310015105,None,90.13234310015105,None,90.13234310015105,None,90.13234310015105,None,90.13234310015105,None,24.099999999999994,1.75,93.9222119001206,None,150,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
70,partial,50,0.8,0,0.2,blue,200,0.5,50,0.5,blue,red,blue,red,blue,72,180,77,355,185,355,"[-9.3, -1.9]","[6, 0]","[-6.7, 1.9]","[10, 0]",50,200,0,50,0,5,5,85,,,,,,,,,,,,,,,,,0.005748450290411711,0.5057484502904117,94.93099529994652,None,94.93099529994652,None,right,1.9856894998811185,94.93099529994652,None,94.93099529994652,None,94.93099529994652,None,94.93099529994652,None,94.93099529994652,None,96.94832820002921,None,96.94832820002921,None,0.005417149979621172,0.5054171499796212,96.94832820002921,None,96.94832820002921,None,96.94832820002921,None,96.94832820002921,None,96.94832820002921,None,96.94832820002921,None,99.72961920010857,None,99.72961920010857,None,0.0077952498104423285,0.5077952498104423,99.72961920010857,None,99.72961920010857,None,99.72961920010857,None,99.72961920010857,None,99.72961920010857,None,99.72961920010857,None,28.299999999999997,1.751,103.52010109997354,None,350,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
279,partial,50,0.8,0,0.2,red,200,0.5,0,0.5,blue,red,blue,red,blue,72,180,5,67,185,355,"[-9.3, -1.9]","[6, 0]","[-6.7, 1.9]","[10, 0]",0,200,50,0,0,6,6,87,,,,,,,,,,,,,,,,,0.010453300084918737,0.5104533000849187,104.54438260011375,None,104.54438260011375,None,right,1.718402000144124,104.54438260011375,None,104.54438260011375,None,104.54438260011375,None,104.54438260011375,None,104.54438260011375,None,106.297766600037,None,106.297766600037,None,0.00561714987270534,0.5056171498727053,106.297766600037,None,106.297766600037,None,106.297766600037,None,106.297766600037,None,106.297766600037,None,106.297766600037,None,109.19363550003618,None,109.19363550003618,None,0.007824850268661976,0.507824850268662,109.19363550003618,None,109.19363550003618,None,109.19363550003618,None,109.19363550003618,None,109.19363550003618,None,109.19363550003618,None,38.5,1.567,112.80167210008949,None,550,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
280,partial,50,0.5,0,0.5,red,200,0.5,50,0.5,blue,red,blue,red,blue,180,180,5,175,185,355,"[-10, 0]","[6, 0]","[-6, 0]","[10, 0]",0,200,50,50,0,7,7,79,,,,,,,,,,,,,,,,,0.016160350060090423,0.5161603500600904,113.83680770010687,None,113.83680770010687,None,right,1.54067109990865,113.83680770010687,None,113.83680770010687,None,113.83680770010687,None,113.83680770010687,None,113.83680770010687,None,115.41713159997016,None,115.41713159997016,None,0.004770649829879403,0.5047706498298794,115.41713159997016,None,115.41713159997016,None,115.41713159997016,None,115.41713159997016,None,115.41713159997016,None,115.41713159997016,None,118.3584863001015,None,118.3584863001015,None,0.00782395014539361,0.5078239501453936,118.3584863001015,None,118.3584863001015,None,118.3584863001015,None,118.3584863001015,None,118.3584863001015,None,118.3584863001015,None,42.5,2.7,123.10249490011483,None,750,,,,,,,,,,,,,,,,,,,f,25,gululu,2022_Jan_08_1900,emotion,2021.1.4,59.96634690910326,
