trialNumber,trialType,x1,p,y1,p2,outcome1,x2,q,y2,q2,outcome2,LWedgeCol,LCircleCol,RWedgeCol,RCircleCol,Lslice,Rslice,L1,L2,R1,R2,x1Pos,x2Pos,y1Pos,y2Pos,leftPoints,rightPoints,LeftYourUn,RightYouUn,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image.started,image.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ISI_2.started,ISI_2.stopped,arrowL_2.started,arrowL_2.stopped,arrowR_2.started,arrowR_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,blueLVal_2.started,blueLVal_2.stopped,blueRVal_2.started,blueRVal_2.stopped,redLVal_2.started,redLVal_2.stopped,redRVal_2.started,redRVal_2.stopped,right.started,right.stopped,left.started,left.stopped,ISI.started,ISI.stopped,arrowL.started,arrowL.stopped,arrowR.started,arrowR.stopped,blueLVal.started,blueLVal.stopped,blueRVal.started,blueRVal.stopped,redLVal.started,redLVal.stopped,redRVal.started,redRVal.stopped,right_2.started,right_2.stopped,left_2.started,left_2.stopped,ISI_4.started,ISI_4.stopped,arrowL_3.started,arrowL_3.stopped,arrowR_3.started,arrowR_3.stopped,blueLVal_3.started,blueLVal_3.stopped,blueRVal_3.started,blueRVal_3.stopped,redLVal_3.started,redLVal_3.stopped,redRVal_3.started,redRVal_3.stopped,rating,ratingrt,text_5.started,text_5.stopped,totalScore,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_5.started,image_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.92152710002847,None,space,15.413400099845603,37.92152710002847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.359064100077376,None,space,3.2421258999966085,53.359064100077376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
425,partial,0,0.5,-50,0.5,red,-50,0.2,-200,0.8,red,red,blue,blue,red,180,72,5,175,77,355,"[-10, 0]","[9.3, 1.9]","[-6, 0]","[6.7, -1.9]",-50,-200,0,-50,0,0,0,8,,,,,,,,,,,,,,,,,0.001572619890794158,0.5015726198907942,56.88574289996177,None,56.88574289996177,None,left,5.9894469999708235,56.88574289996177,None,56.88574289996177,None,56.88574289996177,None,56.88574289996177,None,56.88574289996177,None,62.91544319991954,None,62.91544319991954,None,0.003256219904869795,0.5032562199048698,62.91544319991954,None,62.91544319991954,None,62.91544319991954,None,62.91544319991954,None,62.91544319991954,None,62.91544319991954,None,65.61052410001867,None,65.61052410001867,None,0.006806219927966595,0.5068062199279666,65.61052410001867,None,65.61052410001867,None,65.61052410001867,None,65.61052410001867,None,65.61052410001867,None,65.61052410001867,None,18.099999999999994,3.953,71.65407499996945,None,-50,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
168,partial,50,0.2,0,0.8,blue,200,0.5,0,0.5,red,blue,red,red,blue,72,180,5,67,5,175,"[-6.7, 1.9]","[6, 0]","[-9.3, -1.9]","[10, 0]",50,0,0,200,0,1,1,72,,,,,,,,,,,,,,,,,0.004729340085759759,0.5047293400857598,72.70312969991937,None,72.70312969991937,None,right,4.255948799895123,72.70312969991937,None,72.70312969991937,None,72.70312969991937,None,72.70312969991937,None,72.70312969991937,None,76.99338799994439,None,76.99338799994439,None,0.005887419683858752,0.5058874196838588,76.99338799994439,None,76.99338799994439,None,76.99338799994439,None,76.99338799994439,None,76.99338799994439,None,76.99338799994439,None,79.52348069986328,None,79.52348069986328,None,0.008040319895371795,0.5080403198953718,79.52348069986328,None,79.52348069986328,None,79.52348069986328,None,79.52348069986328,None,79.52348069986328,None,79.52348069986328,None,16.5,3.269,84.84815289988182,None,-50,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
103,partial,0,0.2,-50,0.8,blue,-50,0.5,-200,0.5,blue,blue,red,red,blue,72,180,5,67,185,355,"[-6.7, 1.9]","[6, 0]","[-9.3, -1.9]","[10, 0]",0,-50,-50,-200,0,2,2,23,,,,,,,,,,,,,,,,,0.004044719971716404,0.5040447199717164,85.85783610004,None,85.85783610004,None,left,3.5812633000314236,85.85783610004,None,85.85783610004,None,85.85783610004,None,85.85783610004,None,85.85783610004,None,89.47292810003273,None,89.47292810003273,None,0.006027519935742021,0.506027519935742,89.47292810003273,None,89.47292810003273,None,89.47292810003273,None,89.47292810003273,None,89.47292810003273,None,89.47292810003273,None,92.12173389992677,None,92.12173389992677,None,0.0076475199311971664,0.5076475199311972,92.12173389992677,None,92.12173389992677,None,92.12173389992677,None,92.12173389992677,None,92.12173389992677,None,92.12173389992677,None,4.0,2.818,96.97923219995573,None,-50,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
385,partial,50,0.8,0,0.2,red,200,0.2,0,0.8,red,red,blue,blue,red,72,72,5,67,77,355,"[-9.3, -1.9]","[9.3, 1.9]","[-6.7, 1.9]","[6.7, -1.9]",0,0,50,200,0,3,3,66,,,,,,,,,,,,,,,,,0.012132239993661642,0.5121322399936616,98.00060479994863,None,98.00060479994863,None,left,5.306262099882588,98.00060479994863,None,98.00060479994863,None,98.00060479994863,None,98.00060479994863,None,98.00060479994863,None,103.33705069986172,None,103.33705069986172,None,0.006192419910803437,0.5061924199108034,103.33705069986172,None,103.33705069986172,None,103.33705069986172,None,103.33705069986172,None,103.33705069986172,None,103.33705069986172,None,106.23429400008172,None,106.23429400008172,None,0.007989919977262616,0.5079899199772626,106.23429400008172,None,106.23429400008172,None,106.23429400008172,None,106.23429400008172,None,106.23429400008172,None,106.23429400008172,None,-4.600000000000001,4.502,112.77623789990321,None,-50,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
423,partial,0,0.8,-200,0.2,red,-50,0.8,-200,0.2,red,red,blue,red,blue,72,72,5,67,5,67,"[-9.3, -1.9]","[6.7, -1.9]","[-6.7, 1.9]","[9.3, 1.9]",-200,-200,0,-50,0,4,4,52,,,,,,,,,,,,,,,,,0.0058400200214236975,0.5058400200214237,113.78338690008968,None,113.78338690008968,None,left,5.152377899968997,113.78338690008968,None,113.78338690008968,None,113.78338690008968,None,113.78338690008968,None,113.78338690008968,None,118.967149999924,None,118.967149999924,None,0.006672020070254803,0.5066720200702548,118.967149999924,None,118.967149999924,None,118.967149999924,None,118.967149999924,None,118.967149999924,None,118.967149999924,None,122.0390862999484,None,122.0390862999484,None,0.007932219887152314,0.5079322198871523,122.0390862999484,None,122.0390862999484,None,122.0390862999484,None,122.0390862999484,None,122.0390862999484,None,122.0390862999484,None,6.100000000000001,2.585,126.65709499991499,None,-250,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
426,partial,0,0.5,-50,0.5,red,-50,0.8,-200,0.2,red,red,blue,red,blue,180,72,5,175,5,67,"[-10, 0]","[6.7, -1.9]","[-6, 0]","[9.3, 1.9]",-50,-200,0,-50,0,5,5,44,,,,,,,,,,,,,,,,,0.005629420047625899,0.5056294200476259,127.66520679998212,None,127.66520679998212,None,left,5.136644900077954,127.66520679998212,None,127.66520679998212,None,127.66520679998212,None,127.66520679998212,None,127.66520679998212,None,132.84136489988305,None,132.84136489988305,None,0.01290004001930356,0.5129000400193036,132.84136489988305,None,132.84136489988305,None,132.84136489988305,None,132.84136489988305,None,132.84136489988305,None,132.84136489988305,None,135.51172739989124,None,135.51172739989124,None,0.007719520246610045,0.50771952024661,135.51172739989124,None,135.51172739989124,None,135.51172739989124,None,135.51172739989124,None,135.51172739989124,None,135.51172739989124,None,8.399999999999999,2.685,140.2373078998644,None,-300,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
90,partial,0,0.8,-50,0.2,blue,0,0.5,-200,0.5,blue,red,blue,red,blue,72,180,77,355,185,355,"[-9.3, -1.9]","[6, 0]","[-6.7, 1.9]","[10, 0]",0,0,-50,-200,0,6,6,33,,,,,,,,,,,,,,,,,0.01288006012327969,0.5128800601232797,141.27581760007888,None,141.27581760007888,None,left,8.808329500025138,141.27581760007888,None,141.27581760007888,None,141.27581760007888,None,141.27581760007888,None,141.27581760007888,None,150.11232999991626,None,150.11232999991626,None,0.005631619831547141,0.5056316198315471,150.11232999991626,None,150.11232999991626,None,150.11232999991626,None,150.11232999991626,None,150.11232999991626,None,150.11232999991626,None,152.64216360007413,None,152.64216360007413,None,0.007878419943153858,0.5078784199431539,152.64216360007413,None,152.64216360007413,None,152.64216360007413,None,152.64216360007413,None,152.64216360007413,None,152.64216360007413,None,17.299999999999997,2.75,157.43399280006997,None,-300,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
164,partial,50,0.5,0,0.5,blue,200,0.8,0,0.2,red,red,blue,red,blue,180,72,185,355,5,67,"[-10, 0]","[6.7, -1.9]","[-6, 0]","[9.3, 1.9]",50,0,0,200,0,7,7,96,,,,,,,,,,,,,,,,,0.005835140356794,0.505835140356794,158.46309019997716,None,158.46309019997716,None,right,4.4902045000344515,158.46309019997716,None,158.46309019997716,None,158.46309019997716,None,158.46309019997716,None,158.46309019997716,None,162.99284389987588,None,162.99284389987588,None,0.005682719871401787,0.5056827198714018,162.99284389987588,None,162.99284389987588,None,162.99284389987588,None,162.99284389987588,None,162.99284389987588,None,162.99284389987588,None,165.82247460004874,None,165.82247460004874,None,0.008026119787245989,0.508026119787246,165.82247460004874,None,165.82247460004874,None,165.82247460004874,None,165.82247460004874,None,165.82247460004874,None,165.82247460004874,None,-4.0,3.201,171.0643535000272,None,-300,,,,,,,,,,,,,,,,,,,f,27,lilihong,2022_Jan_10_1824,emotion,2021.1.4,59.97091412254835,
