trialNumber,mychoice,otherchoice,stay,skip,pointsWon,otherScore,unobtained,choicepos,pos_1,otherscore,allowedkeyresp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,left_3.started,left_3.stopped,middle_3.started,middle_3.stopped,right_3.started,right_3.stopped,otherleft_1.started,otherleft_1.stopped,othermiddle_1.started,othermiddle_1.stopped,otherright_1.started,otherright_1.stopped,text_2.started,text_2.stopped,left_4.started,left_4.stopped,right_4.started,right_4.stopped,middle_4.started,middle_4.stopped,ISI_3.started,ISI_3.stopped,mypick.started,mypick.stopped,otherpick.started,otherpick.stopped,residal.started,residal.stopped,otherleft_5.started,otherleft_5.stopped,othermiddle_5.started,othermiddle_5.stopped,otherright_5.started,otherright_5.stopped,left_5.started,left_5.stopped,right_5.started,right_5.stopped,middle_5.started,middle_5.stopped,ISI_5.started,ISI_5.stopped,mypick_1.started,mypick_1.stopped,otherpick_1.started,otherpick_1.stopped,residal_1.started,residal_1.stopped,otherleft_6.started,otherleft_6.stopped,othermiddle_6.started,othermiddle_6.stopped,otherright_6.started,otherright_6.stopped,text_3.started,text_3.stopped,rating,ratingrt,totalScore,othertotalScore,unobtainedScore,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_5.started,image_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,otherleft_3.started,otherleft_3.stopped,othermiddle_3.started,othermiddle_3.stopped,otherright_3.started,otherright_3.stopped,text_4.started,text_4.stopped,ISI_2.started,ISI_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,otherleft_4.started,otherleft_4.stopped,othermiddle_4.started,othermiddle_4.stopped,otherright_4.started,otherright_4.stopped,text_5.started,text_5.stopped,left.started,left.stopped,right.started,right.stopped,middle.started,middle.stopped,ISI.started,ISI.stopped,mypick_3.started,mypick_3.stopped,otherpick_3.started,otherpick_3.stopped,residal_3.started,residal_3.stopped,otherleft.started,otherleft.stopped,othermiddle.started,othermiddle.stopped,otherright.started,otherright.stopped,right_2.started,right_2.stopped,middle_2.started,middle_2.stopped,left_2.started,left_2.stopped,ISI_4.started,ISI_4.stopped,mypick_4.started,mypick_4.stopped,otherpick_4.started,otherpick_4.stopped,residal_4.started,residal_4.stopped,otherleft_2.started,otherleft_2.stopped,othermiddle_2.started,othermiddle_2.stopped,otherright_2.started,otherright_2.stopped,text_6.started,text_6.stopped,image_3.started,image_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,36.0505177999994,None,space,7.763241900000139,36.0505177999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
10,50,200,0,two,50,200,0,,,,,0,0,0,9,,,,,,,,,,,right,6.898445700000593,43.88566110000011,None,43.88566110000011,None,50.80100870000024,None,50.80100870000024,None,50.80100870000024,None,52.78354909999962,53.283201199999894,52.78354909999962,53.283201199999894,52.78354909999962,53.283201199999894,50.80100870000024,None,53.31656626999975,None,53.31656626999975,None,53.31656626999975,None,0.0005747699997300515,None,53.31656626999975,None,53.31656626999975,None,53.31656626999975,None,53.31656626999975,None,53.31656626999975,None,53.31656626999975,None,53.33664239999962,None,53.33664239999962,None,53.33664239999962,None,0.00934763999975985,0.5093476399997598,53.33664239999962,None,53.33664239999962,None,53.33664239999962,None,53.33664239999962,None,53.33664239999962,None,53.33664239999962,None,55.31534439999996,55.31534439999996,25.0,9.766,250,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
43,200,200,0,two,200,200,0,,,,,0,1,1,42,,,,,,,,,,,right,3.041987600000539,65.20986589999939,None,65.20986589999939,None,68.27636840000014,None,68.27636840000014,None,68.27636840000014,None,70.25861769999938,70.75823219999984,70.25861769999938,70.75823219999984,70.25861769999938,70.75823219999984,68.27636840000014,None,70.79156836999974,None,70.79156836999974,None,70.79156836999974,None,0.003725769999618933,None,70.79156836999974,None,70.79156836999974,None,70.79156836999974,None,70.79156836999974,None,70.79156836999974,None,70.79156836999974,None,70.80645099999947,None,70.80645099999947,None,70.80645099999947,None,0.012623040000107721,0.5126230400001077,70.80645099999947,None,70.80645099999947,None,70.80645099999947,None,70.80645099999947,None,70.80645099999947,None,70.80645099999947,None,72.79078140000001,72.79078140000001,50.0,6.006,450,400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
68,0,-50,0,two,0,-50,0,,,,,0,2,2,67,,,,,,,,,,,right,2.3288861999999426,78.8713904999995,None,78.8713904999995,None,81.22045699999944,None,81.22045699999944,None,81.22045699999944,None,83.20282159999988,83.70253129999946,83.20282159999988,83.70253129999946,83.20282159999988,83.70253129999946,81.22045699999944,None,83.7359140699995,None,83.7359140699995,None,83.7359140699995,None,0.009094969998841407,None,83.7359140699995,None,83.7359140699995,None,83.7359140699995,None,83.7359140699995,None,83.7359140699995,None,83.7359140699995,None,83.74568050000016,None,83.74568050000016,None,83.74568050000016,None,0.0011809699990408262,0.5011809699990408,83.74568050000016,None,83.74568050000016,None,83.74568050000016,None,83.74568050000016,None,83.74568050000016,None,83.74568050000016,None,85.73487990000012,85.73487990000012,50.0,8.641,450,350,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
96,-50,-200,-200,two,-50,-200,-200,,,,,0,3,3,95,,,,,,,,,,,right,1.6020954000005077,94.4309916000002,None,94.4309916000002,None,96.06374700000015,None,96.06374700000015,None,96.06374700000015,None,98.04608759999974,98.54569739999988,98.04608759999974,98.54569739999988,98.04608759999974,98.54569739999988,96.06374700000015,None,98.57918026999997,None,98.57918026999997,None,98.57918026999997,None,0.010108569999829342,None,98.57918026999997,None,98.57918026999997,None,98.57918026999997,None,98.57918026999997,None,98.57918026999997,None,98.57918026999997,None,98.58865349999996,None,98.58865349999996,None,98.58865349999996,None,0.0019335699998919154,0.5019335699998919,98.58865349999996,None,98.58865349999996,None,98.58865349999996,None,98.58865349999996,None,98.58865349999996,None,98.58865349999996,None,100.57821419999982,100.57821419999982,50.0,7.031,400,150,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
19,0,0,50,two,0,0,50,,,,,0,4,4,18,,,,,,,,,,,right,1.646901699999944,107.68304960000023,None,107.68304960000023,None,109.3574749999998,None,109.3574749999998,None,109.3574749999998,None,111.3397488999999,111.83984020000025,111.3397488999999,111.83984020000025,111.3397488999999,111.83984020000025,109.3574749999998,None,111.85652107000024,None,111.85652107000024,None,111.85652107000024,None,0.010214070000074571,None,111.85652107000024,None,111.85652107000024,None,111.85652107000024,None,111.85652107000024,None,111.85652107000024,None,111.85652107000024,None,111.86536699999942,None,111.86536699999942,None,111.86536699999942,None,0.0023917700000311015,0.5023917700000311,111.86536699999942,None,111.86536699999942,None,111.86536699999942,None,111.86536699999942,None,111.86536699999942,None,111.86536699999942,None,113.85542429999987,113.85542429999987,25.0,7.913,400,150,-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
36,50,50,0,two,50,50,0,,,,,0,5,5,35,,,,,,,,,,,right,1.7515733999998702,121.81833939999979,None,121.81833939999979,None,123.60117399999945,None,123.60117399999945,None,123.60117399999945,None,125.58364239999992,126.08319779999965,125.58364239999992,126.08319779999965,125.58364239999992,126.08319779999965,123.60117399999945,None,126.11689357000014,None,126.11689357000014,None,126.11689357000014,None,0.010730770000009215,None,126.11689357000014,None,126.11689357000014,None,126.11689357000014,None,126.11689357000014,None,126.11689357000014,None,126.11689357000014,None,126.12502289999975,None,126.12502289999975,None,126.12502289999975,None,0.004157669999585778,0.5041576699995858,126.12502289999975,None,126.12502289999975,None,126.12502289999975,None,126.12502289999975,None,126.12502289999975,None,126.12502289999975,None,128.11573249999947,128.11573249999947,50.0,4.29,450,200,-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
9,50,0,200,two,50,0,200,,,,,0,6,6,8,,,,,,,,,,,right,1.611042699999416,132.4638546999995,None,132.4638546999995,None,134.09644079999998,None,134.09644079999998,None,134.09644079999998,None,136.07871449999948,136.57843299999968,136.07871449999948,136.57843299999968,136.07871449999948,136.57843299999968,134.09644079999998,None,136.61198356999958,None,136.61198356999958,None,136.61198356999958,None,0.010837469999387395,None,136.61198356999958,None,136.61198356999958,None,136.61198356999958,None,136.61198356999958,None,136.61198356999958,None,136.61198356999958,None,136.61994950000008,None,136.61994950000008,None,136.61994950000008,None,0.004334069999458734,0.5043340699994587,136.61994950000008,None,136.61994950000008,None,136.61994950000008,None,136.61994950000008,None,136.61994950000008,None,136.61994950000008,None,138.61100449999958,138.61100449999958,25.0,12.387,500,200,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
88,-200,-200,-50,one,-200,-200,-50,,,,,0,7,7,87,,,,,,,,,,,right,1.3619584999996732,151.05529979999937,None,151.05529979999937,None,152.43808629999967,None,152.43808629999967,None,152.43808629999967,None,154.42047009999987,154.92028289999962,154.42047009999987,154.92028289999962,154.42047009999987,154.92028289999962,152.43808629999967,None,154.95346877000011,None,154.95346877000011,None,154.95346877000011,None,0.010497070000383246,None,154.95346877000011,None,154.95346877000011,None,154.95346877000011,None,154.95346877000011,None,154.95346877000011,None,154.95346877000011,None,154.96203109999988,None,154.96203109999988,None,154.96203109999988,None,0.0032460700003866805,0.5032460700003867,154.96203109999988,None,154.96203109999988,None,154.96203109999988,None,154.96203109999988,None,154.96203109999988,None,154.96203109999988,None,156.9526310000001,156.9526310000001,-25.0,14.28,300,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
81,-50,-50,-200,two,-50,-50,-200,,,,,0,8,8,80,,,,,,,,,,,right,1.5186530000000857,171.27987269999994,None,171.27987269999994,None,172.82878029999938,None,172.82878029999938,None,172.82878029999938,None,174.81127959999958,175.3110084,174.81127959999958,175.3110084,174.81127959999958,175.3110084,172.82878029999938,None,175.34438766999975,None,175.34438766999975,None,175.34438766999975,None,0.01035847000002832,None,175.34438766999975,None,175.34438766999975,None,175.34438766999975,None,175.34438766999975,None,175.34438766999975,None,175.34438766999975,None,175.35277440000027,None,175.35277440000027,None,175.35277440000027,None,0.0026300700001229416,0.5026300700001229,175.35277440000027,None,175.35277440000027,None,175.35277440000027,None,175.35277440000027,None,175.35277440000027,None,175.35277440000027,None,177.3434275999998,177.3434275999998,50.0,7.977,250,-50,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,fuyao,2022-04-02_10h43.37.688,emotion,2022.1.2,60.02044296306862,
