trialNumber,mychoice,otherchoice,stay,skip,pointsWon,otherScore,unobtained,choicepos,pos_1,otherscore,allowedkeyresp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,left_3.started,left_3.stopped,middle_3.started,middle_3.stopped,right_3.started,right_3.stopped,otherleft_1.started,otherleft_1.stopped,othermiddle_1.started,othermiddle_1.stopped,otherright_1.started,otherright_1.stopped,text_2.started,text_2.stopped,left_4.started,left_4.stopped,right_4.started,right_4.stopped,middle_4.started,middle_4.stopped,ISI_3.started,ISI_3.stopped,mypick.started,mypick.stopped,otherpick.started,otherpick.stopped,residal.started,residal.stopped,otherleft_5.started,otherleft_5.stopped,othermiddle_5.started,othermiddle_5.stopped,otherright_5.started,otherright_5.stopped,left_5.started,left_5.stopped,right_5.started,right_5.stopped,middle_5.started,middle_5.stopped,ISI_5.started,ISI_5.stopped,mypick_1.started,mypick_1.stopped,otherpick_1.started,otherpick_1.stopped,residal_1.started,residal_1.stopped,otherleft_6.started,otherleft_6.stopped,othermiddle_6.started,othermiddle_6.stopped,otherright_6.started,otherright_6.stopped,text_3.started,text_3.stopped,rating,ratingrt,totalScore,othertotalScore,unobtainedScore,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_5.started,image_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,otherleft_3.started,otherleft_3.stopped,othermiddle_3.started,othermiddle_3.stopped,otherright_3.started,otherright_3.stopped,text_4.started,text_4.stopped,ISI_2.started,ISI_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,otherleft_4.started,otherleft_4.stopped,othermiddle_4.started,othermiddle_4.stopped,otherright_4.started,otherright_4.stopped,text_5.started,text_5.stopped,left.started,left.stopped,right.started,right.stopped,middle.started,middle.stopped,ISI.started,ISI.stopped,mypick_3.started,mypick_3.stopped,otherpick_3.started,otherpick_3.stopped,residal_3.started,residal_3.stopped,otherleft.started,otherleft.stopped,othermiddle.started,othermiddle.stopped,otherright.started,otherright.stopped,right_2.started,right_2.stopped,middle_2.started,middle_2.stopped,left_2.started,left_2.stopped,ISI_4.started,ISI_4.stopped,mypick_4.started,mypick_4.stopped,otherpick_4.started,otherpick_4.stopped,residal_4.started,residal_4.stopped,otherleft_2.started,otherleft_2.stopped,othermiddle_2.started,othermiddle_2.stopped,otherright_2.started,otherright_2.stopped,text_6.started,text_6.stopped,image_3.started,image_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,44.70144699999946,None,space,3.70069379999768,44.70144699999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
93,0,-200,-200,two,0,-200,-200,,,,,0,0,0,92,,,,,,,,,,,left,1.316482000023825,48.491717800003244,None,48.491717800003244,None,49.83797580000828,None,49.83797580000828,None,49.83797580000828,None,51.818396899994696,52.31834999998682,51.818396899994696,52.31834999998682,51.818396899994696,52.31834999998682,49.83797580000828,None,52.351807159988674,None,52.351807159988674,None,52.351807159988674,None,0.005651560000842437,None,52.351807159988674,None,52.351807159988674,None,52.351807159988674,None,52.351807159988674,None,52.351807159988674,None,52.351807159988674,None,52.36682729999302,None,52.36682729999302,None,52.36682729999302,None,0.013594419986475259,0.5135944199864753,52.36682729999302,None,52.36682729999302,None,52.36682729999302,None,52.36682729999302,None,52.36682729999302,None,52.36682729999302,None,54.351252399996156,54.351252399996156,24.700000000000003,3.156,200,-200,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
84,-50,-50,0,two,-50,-50,0,,,,,0,1,1,83,,,,,,,,,,,down,2.2839869000017643,57.599176199990325,None,57.599176199990325,None,59.90008520000265,None,59.90008520000265,None,59.90008520000265,None,61.88315060001332,62.382987199991476,61.88315060001332,62.382987199991476,61.88315060001332,62.382987199991476,59.90008520000265,None,62.39980255999253,None,62.39980255999253,None,62.39980255999253,None,0.007414959982270375,None,62.39980255999253,None,62.39980255999253,None,62.39980255999253,None,62.39980255999253,None,62.39980255999253,None,62.39980255999253,None,62.41436920000706,None,62.41436920000706,None,62.41436920000706,None,0.015087219973793253,0.5150872199737933,62.41436920000706,None,62.41436920000706,None,62.41436920000706,None,62.41436920000706,None,62.41436920000706,None,62.41436920000706,None,64.39925940000103,64.39925940000103,-0.20000000000000284,3.529,150,-250,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
81,-50,-50,-200,two,-50,-50,-200,,,,,0,2,2,80,,,,,,,,,,,right,3.6821850999840535,67.98185799998464,None,67.98185799998464,None,71.68644960000529,None,71.68644960000529,None,71.68644960000529,None,73.6641959999979,74.16400449999492,73.6641959999979,74.16400449999492,73.6641959999979,74.16400449999492,71.68644960000529,None,74.19751505999594,None,74.19751505999594,None,74.19751505999594,None,0.010963659995468333,None,74.19751505999594,None,74.19751505999594,None,74.19751505999594,None,74.19751505999594,None,74.19751505999594,None,74.19751505999594,None,74.2062600000063,None,74.2062600000063,None,74.2062600000063,None,0.004329460003646091,0.5043294600036461,74.2062600000063,None,74.2062600000063,None,74.2062600000063,None,74.2062600000063,None,74.2062600000063,None,74.2062600000063,None,76.1969448000018,76.1969448000018,0.10000000000000142,2.855,100,-300,-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
51,-50,0,-200,one,-50,0,-200,,,,,0,3,3,50,,,,,,,,,,,down,4.82769289999851,79.11128069998813,None,79.11128069998813,None,83.9624507999979,None,83.9624507999979,None,83.9624507999979,None,85.94478930000332,86.44495330000063,85.94478930000332,86.44495330000063,85.94478930000332,86.44495330000063,83.9624507999979,None,86.4617686600017,None,86.4617686600017,None,86.4617686600017,None,0.00993756001116708,None,86.4617686600017,None,86.4617686600017,None,86.4617686600017,None,86.4617686600017,None,86.4617686600017,None,86.4617686600017,None,86.47104239999317,None,86.47104239999317,None,86.47104239999317,None,0.003400760004296899,0.5034007600042969,86.47104239999317,None,86.47104239999317,None,86.47104239999317,None,86.47104239999317,None,86.47104239999317,None,86.47104239999317,None,88.46124500001315,88.46124500001315,-25.0,3.357,50,-300,-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
6,200,0,50,one,200,0,50,,,,,0,4,4,5,,,,,,,,,,,left,5.70037959999172,91.87967799999751,None,91.87967799999751,None,97.61521379998885,None,97.61521379998885,None,97.61521379998885,None,99.59236000000965,100.09231239999644,99.59236000000965,100.09231239999644,99.59236000000965,100.09231239999644,97.61521379998885,None,100.12574645999703,None,100.12574645999703,None,100.12574645999703,None,0.011783959984313697,None,100.12574645999703,None,100.12574645999703,None,100.12574645999703,None,100.12574645999703,None,100.12574645999703,None,100.12574645999703,None,100.13455419999082,None,100.13455419999082,None,100.13455419999082,None,0.004470559972105548,0.5044705599721055,100.13455419999082,None,100.13455419999082,None,100.13455419999082,None,100.13455419999082,None,100.13455419999082,None,100.13455419999082,None,102.12522779998835,102.12522779998835,41.900000000000006,4.264,250,-300,-550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
79,-200,-50,-50,two,-200,-50,-50,,,,,0,5,5,78,,,,,,,,,,,down,2.6750651999900583,106.4408209999965,None,106.4408209999965,None,109.1452205000096,None,109.1452205000096,None,109.1452205000096,None,111.12334029999329,111.62323319999268,111.12334029999329,111.62323319999268,111.12334029999329,111.62323319999268,109.1452205000096,None,111.65677206000547,None,111.65677206000547,None,111.65677206000547,None,0.011659659998258576,None,111.65677206000547,None,111.65677206000547,None,111.65677206000547,None,111.65677206000547,None,111.65677206000547,None,111.65677206000547,None,111.66619150000042,None,111.66619150000042,None,111.66619150000042,None,0.0045185600174590945,0.5045185600174591,111.66619150000042,None,111.66619150000042,None,111.66619150000042,None,111.66619150000042,None,111.66619150000042,None,111.66619150000042,None,113.65623279998545,113.65623279998545,-40.2,3.53,50,-350,-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
55,0,-50,-200,two,0,-50,-200,,,,,0,6,6,54,,,,,,,,,,,left,2.4524736999883316,117.23962790000951,None,117.23962790000951,None,119.72754029999487,None,119.72754029999487,None,119.72754029999487,None,121.7046827999875,122.20454189999145,121.7046827999875,122.20454189999145,121.7046827999875,122.20454189999145,119.72754029999487,None,122.23807115998935,None,122.23807115998935,None,122.23807115998935,None,0.011759159999201074,None,122.23807115998935,None,122.23807115998935,None,122.23807115998935,None,122.23807115998935,None,122.23807115998935,None,122.23807115998935,None,122.24695070000598,None,122.24695070000598,None,122.24695070000598,None,0.004546860000118613,0.5045468600001186,122.24695070000598,None,122.24695070000598,None,122.24695070000598,None,122.24695070000598,None,122.24695070000598,None,122.24695070000598,None,124.23787589999847,124.23787589999847,9.700000000000003,1.559,50,-400,-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
31,200,50,50,two,200,50,50,,,,,0,7,7,30,,,,,,,,,,,left,4.428359699988505,125.8599719000049,None,125.8599719000049,None,130.32401499999105,None,130.32401499999105,None,130.32401499999105,None,132.30258210000466,132.80249699999695,132.30258210000466,132.80249699999695,132.30258210000466,132.80249699999695,130.32401499999105,None,132.83593025999144,None,132.83593025999144,None,132.83593025999144,None,0.011991759994998574,None,132.83593025999144,None,132.83593025999144,None,132.83593025999144,None,132.83593025999144,None,132.83593025999144,None,132.83593025999144,None,132.845192400011,None,132.845192400011,None,132.845192400011,None,0.004933659976813942,0.5049336599768139,132.845192400011,None,132.845192400011,None,132.845192400011,None,132.845192400011,None,132.845192400011,None,132.845192400011,None,134.8354326999979,134.8354326999979,35.900000000000006,2.312,250,-350,-750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
65,0,-200,0,one,0,-200,0,,,,,0,8,8,64,,,,,,,,,,,down,3.9040384000109043,137.2017366999935,None,137.2017366999935,None,141.1340135000064,None,141.1340135000064,None,141.1340135000064,None,143.11708500000532,143.617035400006,143.11708500000532,143.617035400006,143.11708500000532,143.617035400006,141.1340135000064,None,143.63385076000705,None,143.63385076000705,None,143.63385076000705,None,0.009952460008207709,None,143.63385076000705,None,143.63385076000705,None,143.63385076000705,None,143.63385076000705,None,143.63385076000705,None,143.63385076000705,None,143.64410169998882,None,143.64410169998882,None,143.64410169998882,None,0.003417360014282167,0.5034173600142822,143.64410169998882,None,143.64410169998882,None,143.64410169998882,None,143.64410169998882,None,143.64410169998882,None,143.64410169998882,None,145.63328300000285,145.63328300000285,45.5,2.923,250,-550,-750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,23,yurun,2022_Apr_01_0902,emotion,2021.1.4,59.97422307813654,
