trialNumber,mychoice,otherchoice,stay,skip,pointsWon,otherScore,unobtained,choicepos,pos_1,otherscore,allowedkeyresp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,left_3.started,left_3.stopped,middle_3.started,middle_3.stopped,right_3.started,right_3.stopped,otherleft_1.started,otherleft_1.stopped,othermiddle_1.started,othermiddle_1.stopped,otherright_1.started,otherright_1.stopped,text_2.started,text_2.stopped,left_4.started,left_4.stopped,right_4.started,right_4.stopped,middle_4.started,middle_4.stopped,ISI_3.started,ISI_3.stopped,mypick.started,mypick.stopped,otherpick.started,otherpick.stopped,residal.started,residal.stopped,otherleft_5.started,otherleft_5.stopped,othermiddle_5.started,othermiddle_5.stopped,otherright_5.started,otherright_5.stopped,left_5.started,left_5.stopped,right_5.started,right_5.stopped,middle_5.started,middle_5.stopped,ISI_5.started,ISI_5.stopped,mypick_1.started,mypick_1.stopped,otherpick_1.started,otherpick_1.stopped,residal_1.started,residal_1.stopped,otherleft_6.started,otherleft_6.stopped,othermiddle_6.started,othermiddle_6.stopped,otherright_6.started,otherright_6.stopped,text_3.started,text_3.stopped,rating,ratingrt,totalScore,othertotalScore,unobtainedScore,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_5.started,image_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,otherleft_3.started,otherleft_3.stopped,othermiddle_3.started,othermiddle_3.stopped,otherright_3.started,otherright_3.stopped,text_4.started,text_4.stopped,ISI_2.started,ISI_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,otherleft_4.started,otherleft_4.stopped,othermiddle_4.started,othermiddle_4.stopped,otherright_4.started,otherright_4.stopped,text_5.started,text_5.stopped,left.started,left.stopped,right.started,right.stopped,middle.started,middle.stopped,ISI.started,ISI.stopped,mypick_3.started,mypick_3.stopped,otherpick_3.started,otherpick_3.stopped,residal_3.started,residal_3.stopped,otherleft.started,otherleft.stopped,othermiddle.started,othermiddle.stopped,otherright.started,otherright.stopped,right_2.started,right_2.stopped,middle_2.started,middle_2.stopped,left_2.started,left_2.stopped,ISI_4.started,ISI_4.stopped,mypick_4.started,mypick_4.stopped,otherpick_4.started,otherpick_4.stopped,residal_4.started,residal_4.stopped,otherleft_2.started,otherleft_2.stopped,othermiddle_2.started,othermiddle_2.stopped,otherright_2.started,otherright_2.stopped,text_6.started,text_6.stopped,image_3.started,image_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,58.48239359998843,None,space,13.35170850000577,58.48239359998843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
55,0,-150,-200,two,0,-150,-200,,,,,0,0,0,54,,,,,,,,,,,a,6.207971199997701,71.95577419997426,None,71.95577419997426,None,78.19306269998197,None,78.19306269998197,None,78.19306269998197,None,80.15488839999307,80.66936759999953,80.15488839999307,80.66936759999953,80.15488839999307,80.66936759999953,78.19306269998197,None,80.70271987000015,None,80.70271987000015,None,80.70271987000015,None,0.01419956999598071,None,80.70271987000015,None,80.70271987000015,None,80.70271987000015,None,80.70271987000015,None,80.70271987000015,None,80.70271987000015,None,80.71201760001713,None,80.71201760001713,None,80.71201760001713,None,0.004322970053181052,0.504322970053181,80.71201760001713,None,80.71201760001713,None,80.71201760001713,None,80.71201760001713,None,80.71201760001713,None,80.71201760001713,None,82.70206410001265,82.70206410001265,18.299999999999997,4.661,200,-150,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
84,-150,-150,0,two,-150,-150,0,,,,,0,1,1,83,,,,,,,,,,,g,13.619838799990248,87.4683239000151,None,87.4683239000151,None,101.1268922999734,None,101.1268922999734,None,101.1268922999734,None,103.1149820999708,None,103.1149820999708,None,103.1149820999708,None,101.1268922999734,None,103.63345716996119,None,103.63345716996119,None,103.63345716996119,None,0.015196470019873232,None,103.63345716996119,None,103.63345716996119,None,103.63345716996119,None,103.63345716996119,None,103.63345716996119,None,103.63345716996119,None,103.64761970000109,None,103.64761970000109,None,103.64761970000109,None,0.007417069980874658,0.5074170699808747,103.64761970000109,None,103.64761970000109,None,103.64761970000109,None,103.64761970000109,None,103.64761970000109,None,103.64761970000109,None,105.63141889998224,105.63141889998224,4.899999999999999,4.235,50,-300,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
9,50,0,200,two,50,0,200,,,,,0,2,2,8,,,,,,,,,,,l,3.8186744999838993,109.93087470001774,None,109.93087470001774,None,113.81330109998817,None,113.81330109998817,None,113.81330109998817,None,115.7795018000179,116.2908502999926,115.7795018000179,116.2908502999926,115.7795018000179,116.2908502999926,113.81330109998817,None,116.32420256999322,None,116.32420256999322,None,116.32420256999322,None,0.010146570042707026,None,116.32420256999322,None,116.32420256999322,None,116.32420256999322,None,116.32420256999322,None,116.32420256999322,None,116.32420256999322,None,116.34495759999845,None,116.34495759999845,None,116.34495759999845,None,0.032365939987357706,0.5323659399873577,116.34495759999845,None,116.34495759999845,None,116.34495759999845,None,116.34495759999845,None,116.34495759999845,None,116.34495759999845,None,118.30319120001514,118.30319120001514,17.200000000000003,2.783,100,-300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
54,-200,0,-150,one,-200,0,-150,,,,,0,3,3,53,,,,,,,,,,,g,5.658701800042763,121.17574289999902,None,121.17574289999902,None,126.85977739997907,None,126.85977739997907,None,126.85977739997907,None,128.82694759999868,129.3267574000056,128.82694759999868,129.3267574000056,128.82694759999868,129.3267574000056,126.85977739997907,None,129.3601096700062,None,129.3601096700062,None,129.3601096700062,None,0.025503970042336732,None,129.3601096700062,None,129.3601096700062,None,129.3601096700062,None,129.3601096700062,None,129.3601096700062,None,129.3601096700062,None,129.35876189998817,None,129.35876189998817,None,129.35876189998817,None,0.01854527002433315,0.5185452700243331,129.35876189998817,None,129.35876189998817,None,129.35876189998817,None,129.35876189998817,None,129.35876189998817,None,129.35876189998817,None,131.3142888000002,131.3142888000002,-15.600000000000001,2.313,-100,-300,-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
49,0,-150,-200,one,0,-150,-200,,,,,0,4,4,48,,,,,,,,,,,l,6.383566900040023,133.71255329996347,None,133.71255329996347,None,140.1370348999626,None,140.1370348999626,None,140.1370348999626,None,142.12430640001548,None,142.12430640001548,None,142.12430640001548,None,140.1370348999626,None,142.64259007000365,None,142.64259007000365,None,142.64259007000365,None,0.024527670058887452,None,142.64259007000365,None,142.64259007000365,None,142.64259007000365,None,142.64259007000365,None,142.64259007000365,None,142.64259007000365,None,142.64097070001299,None,142.64097070001299,None,142.64097070001299,None,0.015816570085007697,0.5158165700850077,142.64097070001299,None,142.64097070001299,None,142.64097070001299,None,142.64097070001299,None,142.64097070001299,None,142.64097070001299,None,144.5973327999818,144.5973327999818,18.299999999999997,2.004,-100,-450,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
89,-200,-150,-200,one,-200,-150,-200,,,,,0,5,5,88,,,,,,,,,,,g,3.604253299999982,146.70717269997112,None,146.70717269997112,None,150.34369959996548,None,150.34369959996548,None,150.34369959996548,None,152.30698210000992,152.80585730000166,152.30698210000992,152.80585730000166,152.30698210000992,152.80585730000166,150.34369959996548,None,152.8724245700054,None,152.8724245700054,None,152.8724245700054,None,0.0273815700202249,None,152.8724245700054,None,152.8724245700054,None,152.8724245700054,None,152.8724245700054,None,152.8724245700054,None,152.8724245700054,None,152.87636549997842,None,152.87636549997842,None,152.87636549997842,None,0.019784570089541376,0.5197845700895414,152.87636549997842,None,152.87636549997842,None,152.87636549997842,None,152.87636549997842,None,152.87636549997842,None,152.87636549997842,None,154.83792959997663,154.83792959997663,-8.299999999999997,2.142,-300,-600,-550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
86,-200,0,-200,one,-200,0,-200,,,,,0,6,6,85,,,,,,,,,,,a,1.6580822999821976,157.08821859996533,None,157.08821859996533,None,158.80421809997642,None,158.80421809997642,None,158.80421809997642,None,160.77012539998395,161.28741759998957,160.77012539998395,161.28741759998957,160.77012539998395,161.28741759998957,158.80421809997642,None,161.3207698699902,None,161.3207698699902,None,161.3207698699902,None,0.020951570011675358,None,161.3207698699902,None,161.3207698699902,None,161.3207698699902,None,161.3207698699902,None,161.3207698699902,None,161.3207698699902,None,161.34157300001243,None,161.34157300001243,None,161.34157300001243,None,0.0062204700079746544,0.5062204700079747,161.34157300001243,None,161.34157300001243,None,161.34157300001243,None,161.34157300001243,None,161.34157300001243,None,161.34157300001243,None,163.32761249999749,163.32761249999749,-24.9,2.762,-500,-600,-750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
60,-200,0,-150,two,-200,0,-150,,,,,0,7,7,59,,,,,,,,,,,l,4.609369300014805,166.16871379996883,None,166.16871379996883,None,170.81844910001382,None,170.81844910001382,None,170.81844910001382,None,172.76812899997458,173.26780819997657,172.76812899997458,173.26780819997657,172.76812899997458,173.26780819997657,170.81844910001382,None,173.33468656996266,None,173.33468656996266,None,173.33468656996266,None,0.027485769998747855,None,173.33468656996266,None,173.33468656996266,None,173.33468656996266,None,173.33468656996266,None,173.33468656996266,None,173.33468656996266,None,173.33343009999953,None,173.33343009999953,None,173.33343009999953,None,0.020171169948298484,0.5201711699482985,173.33343009999953,None,173.33343009999953,None,173.33343009999953,None,173.33343009999953,None,173.33343009999953,None,173.33343009999953,None,175.3008814000059,175.3008814000059,-17.700000000000003,2.814,-700,-600,-900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
71,0,-200,0,two,0,-200,0,,,,,0,8,8,70,,,,,,,,,,,g,1.5304788000066765,178.18203999998514,None,178.18203999998514,None,179.75030309997965,None,179.75030309997965,None,179.75030309997965,None,181.71647179999854,182.22240859997692,181.71647179999854,182.22240859997692,181.71647179999854,182.22240859997692,179.75030309997965,None,182.25576086997754,None,182.25576086997754,None,182.25576086997754,None,0.018813569971825927,None,182.25576086997754,None,182.25576086997754,None,182.25576086997754,None,182.25576086997754,None,182.25576086997754,None,182.25576086997754,None,182.27553089999128,None,182.27553089999128,None,182.27553089999128,None,0.005152670026291162,0.5051526700262912,182.27553089999128,None,182.27553089999128,None,182.27553089999128,None,182.27553089999128,None,182.27553089999128,None,182.27553089999128,None,184.25240499997744,184.25240499997744,11.100000000000001,3.039,-700,-800,-900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,lipeijing,2022_Apr_11_1503,experiment3,2021.1.4,30.46379606065749,
